<fRos>     <! $Q=N $P=D      $B=1 $I=C $L=B $H=4 $C=3>
<fRos.1,@L0>      <!1:11>saeeasa?
<fRos.95,@L0>     <!3:5>okaramal
<fRos.96,@L0>     <!3:6>opchdy
<fRos.97,@L0>     <!3:7>ofdora[m:?]
<fRos.98,@L0>     <!3:8>oda
<fRos.99,@L0>     <!3:16>ofchdar
<fRos.100,@L0>    <!3:9>otedam
<fRos.101,@L0>    <!3:10>lokedshs
<fRos.102,@L0>    <!3:11>otodar
<fRos.103,@L0>    <!3:12>otedaiin
<fRos.104,@L0>    <!3:13>okedy
<fRos.105,@L0>    <!3:14>xoltedy
<fRos.106,@L0>    <!3:15>op[ch:a]dam
<fRos.107,@L0>    <!3:19>otedy,oporam
<fRos.108,@L0>    <!3:17>ot[ch:?]dy
<fRos.109,+L0>    <!3:18>otody
<fRos.110,/L0>    <!3:20>chdain
<fRos.111,+L0>    <!3:21>oted[y:?]
<fRos.112,@L0>    <!left of clock>opa{i'h}efchdy
<fRos.113,=Cc>    <!above clock><!08:00>sar.odaiin,or
<fRos.114,+Ca>    <!below clock><!06:30>o.dar.[aiird:???]
<fRos.115,=L0>    <!right of clock>oteoly
<fRos.116,@L0>    <!3:1>ofod[a:y]dy
<fRos.117,@L0>    <!3:2>opd[a:y]dy
<fRos.118,@L0>    <!3:3>otodey
<fRos.119,@L0>    <!3:4>otodedy
<fRos.120,@L0>    <!6:1>opchdain
<fRos.121,@L0>    <!6:2>otdar.shed
<fRos.122,@Cc>    <!06:30>okedar.okody.okair.ched[y:o].opar.ol.keeedy.s,ar,olkchedy.otedaiin.olky.or.aiin.ody.osain.xdar.odaiin.okedal.ol.ar.oekaiin.al,o.saldan.oteedy.otchdaiin.otedy.o[t:k]ar.aiin.yky.odaiin.okal.okalar
<fRos.123,@L0>    <!6:3>ofaraiin
<fRos.124,@L0>    <!6:4>okolar
<fRos.125,@L0>    <!6:5>okchdy
<fRos.126,@L0>    <!6:6>ykedy
<fRos.127,@L0>    <!6:7>oteedy
<fRos.128,@L0>    <!6:8>otosaiin
<fRos.129,@L0>    <!6:9>otchdam
<fRos.130,@L0>    <!6:10>[o:?]tedy
<fRos.131,@L0>    <!6:11>okar
<fRos.132,@L0>    <!6:12>lashalg
<fRos.133,@Cc>    <!05:30>ok,ar,ar.okary.otodeed.odar.chekaiin.oees.???<!long gap>.oiin.okees.oiir.odaiin.okalol.aiiin.okal,ol.otar.chchdam.chetey.otodches.oteesey.chckhy.otody.otal.chedal.opal.olkar.okedaiin.oror
<fRos.134,@L0>    <!9:6>o@214;alda
<fRos.135,@L0>    <!9:1>osaram
<fRos.136,@L0>    <!9:7>oparodam
<fRos.137,@Pb>    <!VI><%>otam.opchody.oteey
<fRos.138,*Pb>    ?opar.chepchey.oteedy.olaiin.osshy<$>
<fRos.139,@Pb>    <!VII><%>tol.ofar.chefaiin.ol
<fRos.140,+Pb>    okchy.qokedy.qokedy
<fRos.141,+Pb>    tol.teoor.o,l,chekor<$>
<fRos.142,@Pb>    <!VIII><%>okar.olche[t:k]y.daiin
<fRos.143,+Pb>    ok[?:ee]dy.qokcho.chfady.oro
<fRos.144,+Pb>    okeechy.okol.shee[o:y].tolf[ch:a]d
<fRos.145,+Pb>    saiir.shodaiin<$>
<fRos.146,@L0>    <!I>dor
<fRos.147,+L0>    oky
<fRos.148,+L0>    roo
<fRos.149,@L0>    <!II>otol
<fRos.150,+L0>    ardas
<fRos.151,+L0>    l,chdy
<fRos.152,@L0>    <!III>oparod
<fRos.153,+L0>    shckhdy
<fRos.154,+L0>    tshda
<fRos.155,@L0>    <!IV>opchd
<fRos.156,+L0>    opchdy
<fRos.157,+L0>    qokal
<fRos.158,@L0>    <!V>shet[?:a]
<fRos.159,+L0>    opchsy
<fRos.160,+L0>    che[?:o]ky
